# hand_removals.csv — Andy's removals, read by build_library.py on every build.
#
# ⚠️ THIS FILE IS THE DECISION. The spreadsheet is regenerated and cannot hold it.
#    Mark "My call" and "My note" in the sheet, then run:  python3.13 harvest_marks.py
#    That writes these rows. Editing by hand works too, the columns are below.
#
# anchor    wikidata | off_taxonomy | wiktextract. The left half of the key.
# id        the source's OWN identifier, verbatim. Q23400, en:cassava. NOT the name.
#           ⚠️ (anchor, id) is unique over all 11,153 entries. The canonical name is
#              NOT: 69 names are used by more than one entry.
# action    drop             the whole entry goes
#           drop_variation   one named variation goes, named in the variation column
#           trim_alias_only  every alias-only variation on that entry goes, one row
#                            instead of listing forty-four
#           fold             ⚠️ the entry's NAMES move onto another row and then it goes.
#                            For a row that is really another row's name: what-the-library-
#                            is-for.md says Latin and other-language names for an ingredient
#                            that already has a common-name row are ALIASES on that row, not
#                            rows of their own. A plain drop would lose them: measured over
#                            the first twelve folds, 1,894 names. Needs `into`.
# variation only for drop_variation. The name to remove, verbatim.
# into      only for fold. The SURVIVING row's id, verbatim. The names land there.
# into_canonical
#           only for fold. The surviving row's name, so a person can read this file. ⚠️ THE
#           BUILD CHECKS IT AGAINST `into` AND REFUSES A MISMATCH rather than trusting it.
#           The ids are opaque Q-numbers and OFF slugs, and a typo in one is invisible.
# reason    ⚠️ REQUIRED. A row with no reason is rejected by the build, the same way
#           ingredient_cuts.OVERRIDES refuses an override without one.
# marked    the date, so a stale decision is visible as stale.
#
# A removal that matches no generated entry is DANGLING. The build lists those every
# run and does not fail, because the commonest cause is a rule already doing the job.
anchor,id,action,variation,reason,marked,into,into_canonical
wikidata,Q36465,drop_variation,Plain flour,"⚠️ THE AMERICAN READING. plain flour is UK for all-purpose flour and that row carries it too, so 3 recipe lines landed on whichever of the two won. The general flour row is not the specific product.",2026-08-25
wikidata,Q27938,drop_variation,green onion,"⚠️ THE AMERICAN READING. green onion is US for scallion and that row carries it too. A Welsh onion is a different Allium and should not answer for it.",2026-08-25
wikidata,Q229385,drop_variation,Japanese soy sauce,"⚠️ THE AMERICAN READING is not what settles this one, the specificity is: Japanese soy sauce IS shōyu and that row carries the name. The general soy sauce row should not answer for one country's product.",2026-08-25
wikidata,Q2845,drop,,"⚠️ NOT A COOKING INGREDIENT IN THIS LIBRARY, and it produced a wrong answer in three separate passes. It is here because Wikidata files Q2845 as both a chemical substance and an ingredient or foodstuff. It carried 311 names, 109 of them English, and acted as a magnet: it held 'flour' at 4 recipe lines, plus urt, zelí, herb, mixed herbs and Kinder Chocolate. Measured before removal: 15 of its names stay reachable on other rows including flour, 296 become unreachable and ZERO of those carry a recipe line. The only two that read as food vocabulary are herb and mixed herbs, both at zero lines and carried by nothing else.",2026-08-25
,hot-dog,drop_variation,"Are hotdogs sandwiches?","⚠️ AN ARTICLE TITLE ABOUT AN ARGUMENT IS NOT A NAME FOR A FOOD. en.wikipedia redirects these at the Hot dog article and the join copied them in as names, so the library offered to answer a recipe line reading Are hotdogs sandwiches?. All twelve are wikipedia_redirect with no language and no other source, and NOTHING IN THE STORE WOULD EVER FLAG THEM: they are well formed English, they are not initialisms, not symbols, not dead languages and not translations. The clearest case yet of a redirect that is not a name.",2026-08-25
,hot-dog,drop_variation,"Hot dog (sandwich)","⚠️ AN ARTICLE TITLE ABOUT AN ARGUMENT IS NOT A NAME FOR A FOOD. en.wikipedia redirects these at the Hot dog article and the join copied them in as names, so the library offered to answer a recipe line reading Are hotdogs sandwiches?. All twelve are wikipedia_redirect with no language and no other source, and NOTHING IN THE STORE WOULD EVER FLAG THEM: they are well formed English, they are not initialisms, not symbols, not dead languages and not translations. The clearest case yet of a redirect that is not a name.",2026-08-25
,hot-dog,drop_variation,"Hot dog is a sandwich","⚠️ AN ARTICLE TITLE ABOUT AN ARGUMENT IS NOT A NAME FOR A FOOD. en.wikipedia redirects these at the Hot dog article and the join copied them in as names, so the library offered to answer a recipe line reading Are hotdogs sandwiches?. All twelve are wikipedia_redirect with no language and no other source, and NOTHING IN THE STORE WOULD EVER FLAG THEM: they are well formed English, they are not initialisms, not symbols, not dead languages and not translations. The clearest case yet of a redirect that is not a name.",2026-08-25
,hot-dog,drop_variation,"Hot dog sandwich","⚠️ AN ARTICLE TITLE ABOUT AN ARGUMENT IS NOT A NAME FOR A FOOD. en.wikipedia redirects these at the Hot dog article and the join copied them in as names, so the library offered to answer a recipe line reading Are hotdogs sandwiches?. All twelve are wikipedia_redirect with no language and no other source, and NOTHING IN THE STORE WOULD EVER FLAG THEM: they are well formed English, they are not initialisms, not symbols, not dead languages and not translations. The clearest case yet of a redirect that is not a name.",2026-08-25
,hot-dog,drop_variation,"Hot dog sandwich debate","⚠️ AN ARTICLE TITLE ABOUT AN ARGUMENT IS NOT A NAME FOR A FOOD. en.wikipedia redirects these at the Hot dog article and the join copied them in as names, so the library offered to answer a recipe line reading Are hotdogs sandwiches?. All twelve are wikipedia_redirect with no language and no other source, and NOTHING IN THE STORE WOULD EVER FLAG THEM: they are well formed English, they are not initialisms, not symbols, not dead languages and not translations. The clearest case yet of a redirect that is not a name.",2026-08-25
,hot-dog,drop_variation,"Hot dogs are not sandwiches","⚠️ AN ARTICLE TITLE ABOUT AN ARGUMENT IS NOT A NAME FOR A FOOD. en.wikipedia redirects these at the Hot dog article and the join copied them in as names, so the library offered to answer a recipe line reading Are hotdogs sandwiches?. All twelve are wikipedia_redirect with no language and no other source, and NOTHING IN THE STORE WOULD EVER FLAG THEM: they are well formed English, they are not initialisms, not symbols, not dead languages and not translations. The clearest case yet of a redirect that is not a name.",2026-08-25
